Phase 0,Phase 1,Phase 2,Phase 3,Phase 4,f_score,mse,epe,accuracy,jaccard,file,pel
5.01,443.43,261.97,10.95,6.22,0.25710378361951075,0.028278095899126613,1.4290837952396478,0.9717219041008733,0.8524847428073234,rose,pelModificato
10.35,538.23,334.26,10.44,6.01,0.256922378574671,0.02840534443866042,1.4468497576736672,0.9715946555613396,0.8526041666666666,rose,pelBase
16.59,444.17,555.8,38.47,8.16,0.24896019013666076,0.043866041992018046,1.064277456647399,0.956133958007982,0.8578215134034611,saint,pelModificato
15.64,527.03,631.13,24.91,8.52,0.24701823558403155,0.04418416334085257,1.0649588289112535,0.9558158366591475,0.8590868196131354,saint,pelBase
8.98,445.87,1732.38,82.63,5.54,0.20052921404562685,0.07240238081359576,2.7681116825863334,0.9275976191864043,0.8885621174787378,worm,pelModificato
9.77,572.77,1118.36,69.22,8.62,0.20255500354861605,0.07277154940706343,2.757957175925926,0.9272284505929366,0.8873094843244097,worm,pelBase
13.97,786.8,2742.7,96.76,12.84,0.1975909789851358,0.07166290283203125,1.9052538631346578,0.9283370971679688,0.890373951372103,lena,pelModificato
13.82,918.02,2555.24,90.4,20.64,0.1952985265309599,0.07208251953125,1.910662571303203,0.92791748046875,0.8917834725565151,lena,pelBase
9.86,450.86,444.6,23.43,10.68,0.2620699837590432,0.06021686746987952,1.5736301369863013,0.9397831325301205,0.8492056749638943,apartment,pelModificato
9.16,503.65,572.72,20.04,6.1,0.2616629874908021,0.06044578313253012,1.5939622641509434,0.9395542168674699,0.8494751100575686,apartment,pelBase
10.48,434.22,338.47,16.3,11.0,0.35290266259275427,0.034299265428885416,0.860673546985334,0.9657007345711146,0.7857426792102822,birds,pelModificato
11.51,500.03,336.58,16.27,8.01,0.3510603588907015,0.034513274336283185,0.8723404255319149,0.9654867256637168,0.7870993272655322,birds,pelBase
27.29,1425.65,3634.29,153.68,24.33,0.23724542275252006,0.05721836419753087,2.195941740321175,0.9427816358024691,0.8654121079504011,cityscapes,pelModificato
38.6,1600.52,2589.03,142.29,18.63,0.24049237081677138,0.057131558641975305,2.177765411488283,0.9428684413580247,0.8633183699644377,cityscapes,pelBase
39.92,1442.5,3525.45,142.42,31.27,0.2875268856073888,0.07603973765432098,1.5235635080645162,0.923960262345679,0.8320984527051274,kitchen,pelModificato
31.32,1685.58,3846.77,109.35,38.56,0.288427171146452,0.07603973765432098,1.5239551051176816,0.923960262345679,0.8314841376982788,kitchen,pelBase
14.03,421.73,277.13,21.72,3.68,0.2586338049596836,0.028185551506738387,1.4295521412226218,0.9718144484932616,0.8514764983400315,rose,pelModificato
4.48,476.17,270.95,15.02,0.0,0.2560459492140266,0.028468968708427324,1.4416505480335267,0.9715310312915727,0.8531807938984226,rose,pelBase
2.79,479.37,533.52,34.95,2.52,0.24262230144583086,0.04423621956157094,1.07121387283237,0.955763780438429,0.8619407190352756,saint,pelModificato
7.84,501.68,534.66,15.64,15.62,0.2417192429022082,0.044490716640638556,1.071150766415008,0.9555092833593615,0.8625252298721686,saint,pelBase
18.42,440.61,1035.33,72.33,8.5,0.20556348074179745,0.07213683849197867,2.7585501315404852,0.9278631615080213,0.8854439939581843,worm,pelModificato
9.59,540.53,1393.9,71.88,9.65,0.20345489443378117,0.07257077350535295,2.7436492959790972,0.9274292264946471,0.8867521367521367,worm,pelBase
14.59,783.35,1748.33,89.26,10.65,0.19599470515393486,0.07182693481445312,1.905312389692905,0.9281730651855469,0.8913558038250331,lena,pelModificato
14.92,925.6,1755.87,88.74,7.04,0.1965091528309919,0.07199859619140625,1.9094975006577217,0.9280014038085938,0.8910395618921726,lena,pelBase
9.64,450.68,444.57,28.14,4.89,0.26063201417601894,0.06032530120481928,1.5778454510848876,0.9396746987951807,0.8501570591731047,apartment,pelModificato
12.85,494.97,406.55,19.58,0.0,0.2624061257546753,0.060349397590361446,1.5893801965230536,0.9396506024096386,0.8489830508474576,apartment,pelBase
10.27,416.52,312.4,14.67,8.6,0.34817725387469983,0.0345421944589045,0.8676630434782608,0.9654578055410955,0.789216334082199,birds,pelModificato
15.68,485.1,377.89,15.3,8.99,0.3503966960113031,0.03457111458152583,0.8763108362463028,0.9654288854184742,0.7875872974041376,birds,pelBase
26.78,1373.0,3033.95,174.7,29.22,0.23636176667180836,0.05729938271604938,2.1942025379447623,0.9427006172839506,0.8659805836564531,cityscapes,pelModificato
31.48,1590.09,4128.8,141.08,25.44,0.23967175278881908,0.057193287037037036,2.178383725963025,0.9428067129629629,0.8638482605908746,cityscapes,pelBase
17.37,1472.35,5480.36,126.31,32.26,0.2875585368940641,0.07600887345679012,1.5240036993442072,0.9239911265432099,0.8320768662232076,kitchen,pelModificato
24.5,1744.96,4260.5,124.47,21.76,0.28682870453970893,0.07618441358024691,1.5267613898319292,0.923815586419753,0.8325744160553166,kitchen,pelBase
9.51,434.64,278.5,14.84,0.0,0.2609225148424417,0.028081439065301635,1.4252045826513913,0.9719185609346984,0.8499649859943977,rose,pelModificato
4.92,469.33,251.95,15.86,6.26,0.25609202361132133,0.028428480536757474,1.4539282250242482,0.9715715194632425,0.8531504947057802,rose,pelBase
10.5,459.3,559.54,27.23,18.9,0.24965325936199723,0.0438082017467754,1.06317981948623,0.9561917982532246,0.8573692551505547,saint,pelModificato
3.94,533.37,476.11,31.29,0.0,0.24686233817570907,0.044080050899415815,1.062586286240221,0.9559199491005842,0.8591882750845546,saint,pelBase
9.5,440.0,1110.29,81.46,8.75,0.1977974828375286,0.07265496985123153,2.7779900088157508,0.9273450301487685,0.8902468058090628,worm,pelModificato
8.92,539.98,1015.45,77.03,8.93,0.20174753143425445,0.07277802604905409,2.750688505580519,0.927221973950946,0.887809117484396,worm,pelBase
15.09,786.86,1637.2,97.23,15.45,0.1978952772073922,0.07152557373046875,1.901674196120117,0.9284744262695312,0.8901865831078194,lena,pelModificato
14.01,887.67,1740.43,87.29,16.43,0.1970955240407138,0.07191848754882812,1.9153063015622258,0.9280815124511719,0.8906788869466622,lena,pelBase
0.0,449.41,473.51,37.45,3.09,0.2626993502658003,0.060156626506024095,1.5768937952036544,0.939843373493976,0.848788780280493,apartment,pelModificato
0.0,492.48,453.16,21.28,0.0,0.26253404991533535,0.0603433734939759,1.596070281503873,0.9396566265060241,0.8488983050847457,apartment,pelBase
16.3,422.12,321.03,8.24,14.03,0.3506550218340611,0.03440337787032217,0.8635127786840674,0.9655966221296778,0.7873974053481599,birds,pelModificato
12.0,469.94,335.33,17.21,0.0,0.3494342906875544,0.03458846665509862,0.879245283018868,0.9654115333449014,0.7882942262061693,birds,pelBase
33.52,1385.62,2867.83,157.44,23.47,0.237229748836731,0.057235725308641974,2.200970330285501,0.942764274691358,0.8654221962957562,cityscapes,pelModificato
31.31,1598.57,2437.22,147.65,22.2,0.23671249743484504,0.05739969135802469,2.181475064967207,0.9426003086419753,0.8657550189118417,cityscapes,pelBase
